Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments
MSG_Map_Init_Fail,,,Unable to load map data.,,맵 데이터 로드에 실패하였습니다.,
Error_1,,,Failed to load map data.,,맵 데이터 로드에 실패하였습니다.,
UI_Stage_99,,,Infinite,,무한모드,
UI_Stage_Desc_99,,,"Defeat the throng of filth.
We exchange Go for TIK at midnight every day.
Who is today's star?",,"무수히 몰려오는 오물이를 물리쳐보세요.
매일 자정이 되면 Go를 TIK로 교환해드립니다.
오늘의 주인공은 누구?!",
UI_MissionGroup_1,,,[Baby Town],,[어린이집],
UI_MissionGroup_2,,,[Puberty],,[성장기],
UI_MissionGroup_3,,,[Collector],,[수집가],
UI_MissionDesc_1,,,All different 0 star PengGO,,서로 다른 0성 펭고 모두 보유,
UI_MissionDesc_2,,,All different 1 star PengGO,,서로 다른 1성 펭고 모두 보유,
UI_MissionDesc_3,,,All different 2 stars PengGO,,서로 다른 2성 펭고 모두 보유,
UI_MissionDesc_4,,,The first 3 stars PengGO,,최초 3성 펭고 보유,
UI_MissionDesc_5,,,The first 4 stars PengGO,,최초 4성 펭고 보유,
UI_MissionDesc_6,,,Three PengGO with the same 1 star,,동일한 1성 펭고 3마리 보유,
UI_MissionDesc_7,,,Three PengGO with the same 2 stars,,동일한 2성 펭고 3마리 보유,
UI_MissionDesc_8,,,Three PengGO with the same 3 stars,,동일한 3성 펭고 3마리 보유,
UI_ProfileGuide_1,,,Built-In,,기본 제공,
UI_Character_1,,,Humboldt Pair,,훔볼트 페어,
UI_Character_2,,,Fortis,,포티스,
UI_Character_3,,,Meosk,,머스크,
UI_Character_4,,,Foxy,,폭시,
UI_Character_5,,,Razy,,레이지,
UI_Character_1001,,,PolarFizz,,폴라피즈,
UI_CharacterInfo_1,,,"Although it lives in the Humboldt Current, which is a rich fishing ground, it has been designated as an endangered species due to indiscriminate fishing and climate change.",,"풍부한 어장인 훔볼트 해류에서 서식하지만, 무분별한 어획과 기후변화로 인해 먹이가 급속히 줄어들어 멸종 취약종으로 지정되었습니다.",
UI_CharacterInfo_2,,,Really like coke?,,정말 콜라를 좋아할까요?,
UI_CharacterInfo_3,,,"Huge animal that mainly lives in the Arctic region of Canada, Greenland, and Alaska.",,"캐나다의 북극 지역, 그린란드, 알래스카에서 주로 서식하는 거대한 동물입니다.",
