Key,Id,English (United States)(en-US),Korean (South Korea)(ko-KR)
"MSG_Map_Init_Fail",343799237697536,"Unable to load map data.","맵 데이터 로드에 실패하였습니다."
"Error_1",343799246086144,"Failed to load map data.","맵 데이터 로드에 실패하였습니다."
"UI_MissionComplete",343799250280481,"{0} Successful! {1} Gem acquired!","{0} 성공! {1}젬 획득!"
"UI_Go",343799250280482,"GO","GO"
"UI_TIK",343799250280483,"TIK","TIK"
"UI_GemInterest",343799250280484,"Bonus","보너스"
"UI_WaveRound",343799250280485,"Wave {0}","Wave {0}"
"UI_ReLocation",343799250280486,"Relocation","재배치"
"UI_SummonBoss",343799250280487,"Lv.{0} Summon Boss","Lv.{0} 보스 소환"
"UI_Reward",343799250280488,"Reward","보상"
"UI_MissionConfirm",343799250280489,"Mission","미션확인"
"UI_MissionConfirmCount",343799250280490,"Mission({0}/{1})","미션확인({0}/{1})"
"UI_Summon",343799250280491,"Summon","소환"
"UI_Pause",343799250280492,"Pause","일시정지"
"UI_Profile",343799250280493,"Profile","프로필"
"UI_NicknameEdit",343799250280494,"Nickname Edit","닉네임 변경"
"UI_NicknameDesc",343799250280495,"Please change your Nickname.","닉네임을 설정해주세요."
"DUPLICATED_NICKNAME",343799254474752,"<color=#FF0000>This nickname is already in use.</color>","<color=#FF0000>이미 사용중인 닉네임입니다.</color>"
"INVALID_NICKNAME",343799254474753,"<color=#FF0000>This nickname is not available.</color>","<color=#FF0000>사용할 수 없는 닉네임입니다.</color>"
"UI_NicknameMinimum",343799254474754,"<color=#FF0000>Please use {0} or higher.</color>","<color=#FF0000>{0}글자 이상 사용해주세요.</color>"
"UI_NicknameMaximum",343799254474755,"<color=#FF0000>Please use the nickname below {0}.</color>","<color=#FF0000>{0}이하로 사용해주세요.</color>"
"UI_NicknameSucceess",343799254474756,"<color=#00B050>This nickname is available.</color>","<color=#00B050>사용 가능한 닉네임입니다.</color>"
"UI_NicknameRule",343799254474757,"*You can use it for free once per account.
*Offensive words can be subject to sanctions.
*Special characters and spaces are not allowed.","*계정당 1회 무료 사용할 수 있습니다.
*불쾌감을 주는 단어는 제재의 대상이 될 수 있습니다.
*특수문자 및 공백은 사용할 수 없습니다."
"UI_Search",343799254474760,"Search","플레이"
"UI_Energy_Store",343799254474761,"Energy Charger","에너지 구매"
"UI_Energy_Need",343799254474762,"Do you need energy?","에너지가 부족하신가요?"
"UI_GetCharacter_Glacier",343799254474763,"[Glacier] Random Character","[빙하] 캐릭터 뽑기"
"UI_TodayGo",343799254474764,"Today`s GO","오늘의 GO"
"UI_LeaderBoard",343799254474765,"Leader Board","리더보드"
"UI_Setting",343799254474766,"Setting","환경설정"
"UI_PlayerUID",343799254474767,"Player UID","플레이어UID"
"UI_Glacier",343799254474768,"Glacier","빙하"
"UI_Ocean",343799254474769,"Ocean","바다"
"UI_MyCharacter",343799254474770,"My Character","보유한 캐릭터"
"UI_Information",343799254474771,"Information","안내"
"UI_AttackInformation",343799254474772,"Attack Information","공격정보"
"UI_DetectRange",343799254474775,"Range","사거리"
"UI_TargetCount",343799254474776,"Target Count","타겟 수"
"UI_StrikeRange",343799254474777,"Splash Range","확산 피해"
"UI_Examine",343799254474782,"Examine","중복 확인"
"UI_Withdrawal",343799254474784,"Withdrawal","회원탈퇴"
"UI_Withdrawal_Fail",343799254474785,"The withdrawal has failed.","탈퇴에 실패하였습니다."
"UI_GameOver_Desc",343799254474786,"Challenge your weekly best!
","주간 최고 기록에 도전해보세요!"
"UI_Ranking",363406589681664,"Rank","랭킹"
"UI_Stage_99",2586972248858624,"Infinite","무한모드"
"UI_Stage_Desc_99",2586972265635840,"Defeat the throng of filth.
We exchange Go for TIK at midnight every day.
Who is today's star?","무수히 몰려오는 오물이를 물리쳐보세요.
매일 자정이 되면 Go를 TIK로 교환해드립니다.
오늘의 주인공은 누구?!"
"UI_MissionGroup_1",2586972265635841,"Gather up, everyone!","모두 모여라!"
"UI_MissionGroup_2",2586972265635842,"Trust me!","나만 믿어!"
"UI_MissionGroup_3",2586972265635843,"Together, we live!","뭉치면 산다!"
"UI_MissionDesc_1",2586972265635844,"All different 0 star Character","서로 다른 0성 캐릭터 모두 보유"
"UI_MissionDesc_2",2586972265635845,"All different 1 star Character","서로 다른 1성 캐릭터 모두 보유"
"UI_MissionDesc_3",2586972265635846,"All different 2 stars Character","서로 다른 2성 캐릭터 모두 보유"
"UI_MissionDesc_4",2586972265635847,"All different 3 stars Character","서로 다른 3성 캐릭터 모두 보유"
"UI_MissionDesc_5",2586972265635848,"The first 3 stars Character","최초 3성 캐릭터 보유"
"UI_MissionDesc_6",2586972265635849,"The first 4 stars Character","최초 4성 캐릭터 보유"
"UI_MissionDesc_7",2586972265635850,"Three Character with the same 1 star","동일한 1성 캐릭터 3마리 보유"
"UI_MissionDesc_8",2586972265635851,"Three Character with the same 2 stars","동일한 2성 캐릭터 3마리 보유"
"UI_ProfileGuide_1",2586972265635852,"Built-In","기본 제공"
"UI_Character_1",2586972265635853,"Pengo","펭고"
"UI_Character_2",2586972265635854,"Fortis","포티스"
"UI_Character_3",2586972265635855,"Meosk","머스크"
"UI_Character_4",2586972265635856,"Cub Foxy","견습생 폭시"
"UI_Character_5",2586972265635857,"Razy","레이지"
"UI_Character_1001",2586972265635858,"Polar Fizz","폴라피즈"
"UI_CharacterInfo_1",2586972265635859,"I am the great Pengo of the Pengo family!
Take the snowball of justice!","나는 펭고 가문의 위대한 펭고님이시다!
정의의 눈덩이를 받아라!"
"UI_CharacterInfo_2",2586972265635860,"Everything is bound to be equal on a single shell.","모든 것은 포탄 한 발에 평등해지기 마련입니다."
"UI_CharacterInfo_3",2586972265635861,"Hey, kid!
Isn't my horn wonderful?","이봐 꼬맹이!
내뿔 근사하지 않아?!"
"UI_CharacterInfo_4",2586972265635862,"I'm not confident in combat...
Can my magic really help…?","나는 전투에는 자신이 없어…
과연 내 마법이 도움 될 수 있을까…?"
"UI_CharacterInfo_5",2586972265635863,"Don't call me Lazy!
It's just, it's just... annoying!","나는 절대 게으르지 않아!
단지, 귀찮을 뿐이야!"
"UI_CharacterInfo_1001",2586972265635864,"I... It's not a mussel…","저는… 홍합이 아니에요…"
"UI_CharacterAttack_1",2586972265635865,"Throw a snowball at a distant enemy.","먼거리의 적에게 눈덩이를 던집니다."
"UI_CharacterAttack_2",2586972265635866,"Fire shells at enemies to cause Splash Damage.","적에게 포탄을 발사하여 확산 피해를 줍니다."
"UI_CharacterAttack_3",2586972265635867,"It hits a nearby enemy and causes relatively high damage.","가까운 적에게 박치기하여 비교적 높은 피해를 입힙니다."
"UI_CharacterAttack_4",2586972265635868,"Grant a buff to nearby allies, increasing their attack power. (Redundant)","근처 아군에게 버프를 제공하여 공격력을 상승시킵니다.  (중첩가능)"
"UI_CharacterAttack_5",2586972265635869,"Fires a crescent-shaped object to slow down the target.","초승달 모양의 물체를 발사하여 대상을 느리게합니다."
"UI_CharacterAttack_1001",2586972265635870,"Attacks the nearest single enemy.","가장 가까운 단일 적을 공격합니다."
"UI_Store_1",2586972269830144,"Small Energy","소량 에너지"
"UI_Store_2",2586972269830145,"Large Energy","대량 에너지"
"UI_Taika_English",2586972269830146,"Taika","Taika"
"UI_Taika_Korean",2586972269830147,"Taika","타이카"
"UI_Staika_English",2586972269830148,"Staika","Staika"
"UI_Staika_Korean",2586972269830149,"Staika","스타이카"
"UI_Digitalproperty",2586972269830150,"Digital Property","디지털자산"
"UI_Count_TIK",2586972269830151,"{0} TIK","{0} TIK"
"UI_Count_STIK",2586972269830152,"{0} STIK","{0} STIK"
"UI_Nickname",13592124351045632,"Nickname","닉네임"
"UI_Confirm",13592124359434240,"Confirm","확인"
"UI_Sound",13592124359434241,"Sound","사운드"
"UI_Effect",13592124359434242,"Effect","이펙트"
"UI_BGM",13592124359434243,"BGM","배경음"
"UI_Language",13592124359434244,"Language","언어"
"UI_Account_Connect",13592124359434245,"Account","계정연결"
"UI_Logout",13592124359434246,"Logout","로그아웃"
"UI_Google_Connect",13592124359434247,"Google Connected","Google 연동됨"
"UI_Support",13592124359434248,"Support","지원"
"UI_TermsConitions",13592124359434249,"Terms & Conditions","이용약관"
"UI_Operation Policy",13592124359434250,"Operation Policy","운영정책"
"UI_Distribute_Desc",13592124359434251,"TIK is distributed daily at UTC + 0 o'clock.","TIK은 매일 UTC+0시에 맞추어 배분됩니다."
"UI_Today",13592124359434252,"Today","오늘"
"UI_Yesterday",13592124359434253,"Yesterday","어제"
"UI_SUN",13592124359434254,"SUN","일"
"UI_MON",13592124359434255,"MON","월"
"UI_TUE",13592124359434256,"TUE","화"
"UI_WED",13592124359434257,"WED","수"
"UI_THU",13592124359434258,"THU","목"
"UI_FRI",13592124359434259,"FRI","금"
"UI_SAT",13592124359434260,"SAT","토"
"ENERGY_1",13592124359434261,"Energy charge","에너지 충전"
"ENERGY_2",13592124359434262,"Energy charge","에너지 충전"
"UI_Grade_2",13592124359434264,"Uncommon","레어"
"UI_Grade_6",13592124359434265,"Epic","에픽"
"UI_Assign",13592124359434268,"Assign","배치"
"UI_Cancel",13592124363628544,"Cancel","취소"
"UI_Change_Desc",13592124363628545,"You can change it by touching it.","터치하여 변경할 수 있습니다."
"UI_Taika",13592124363628546,"Taika","Taika"
"UI_Complete",13592124363628547,"Complete","완료"
"UI_GameOver",13592124363628548,"GameOver","게임 오버"
"UI_Token_Desc",13592124363628549,"Good job! Get a higher GO score!
We will change the accumulated GO score at UTC +0 o'clock to TIK every day.","잘했어! 더 높은 GO점수를 쌓아봐!
매일 UTC +0시에 누적된 GO점수를 TIK로 변경해줄거야"
"UI_EXIT",13592124363628550,"EXIT","EXIT"
"UI_Home",13600546928713728,"Battle","배틀"
"UI_Shop",13600606101954560,"Shop","상점"
"UI_Inventory",13600612179501056,"Inventory","인벤토리"
"UI_Wallet",13600613144190976,"Wallet","지갑"
"UI_Essential_TermsContions",14126663758503936,"(Essential) Terms and Conditions","(필수) 이용약관"
"UI_Essential_PrivacyPolicy",14126766070161408,"(Essential) Privacy Policy","(필수) 개인정보 수집 및 이용 동의"
"UI_Optional_MarketingConsent",14126836341530624,"(Optional) Marketing Consent","(선택) 마케팅 동의"
"UI_SignInGoogle",14212627902226432,"Sign in with Google","Google로 로그인"
"UI_AgreeOnce",14225272445329408,"Agree at Once","모두 동의하고 시작"
"UI_Start",14225308252102656,"Start","시작"
"UI_Earn",14552917984927744,"Earn","획득"
"BLACKLIST_NICKNAME",22824251319902208,"<color=#FF0000>There is a forbidden word.</color>","<color=#FF0000>사용할 수 없는 단어가 포함되어 있습니다.</color>"
"WELCOME",22929340529369088,"WELCOME~~","환영합니다~~"
"DAILY_REWARD",22929407998943232,"Daily Reward","획득한 GO점수 Tik으로 전환"
"ADMIN_REWARD",22929631387574272,"Admin Reward","테스트용 임의 지급"
"CHANGE_NICKNAME",24261988090634240,"Change Nickname","닉네임 변경"
"UI_UpdateStore",25359357142097920,"There is a new update. 
Do you want to proceed with the download?","새로운 업데이트가 있습니다. 
다운로드 진행하시겠습니까?"
"UI_SignInApple",27601029041217536,"Sign in with Apple","Apple로 로그인"
"UI_NicknameImpossible",27884827981111296,"<color=#FF0000>This nickname is not available.</color>","<color=#FF0000>사용할 수 없는 닉네임입니다.</color>"
"UI_Withdrawal_Game",32302662656450560,"Withdrawal","회원탈퇴"
"UI_Withdrawal_UAA",32302818072190976,"<color=#808080>WHY?!</color>","<color=#808080>아니, 왜 그러시죠?</color>"
"UI_Withdrawal_UAA_Desc",32302973458571264,"<color=#FF0000>Upon withdrawal, all data will be deleted after the grace period (14 days).</color>","<color=#FF0000>*회원 탈퇴 후, 14일 이내에 복구가 가능합니다.</color>"
"UI_Withdrawal_Desc",32303052533784576,"What's the reason for leaving?
(You do not need to submit a reason.)","탈퇴하는 이유가 무엇일까요?
(사유를 제출하지 않아도 됩니다.)"
"UI_UAA_Recover",32303660535898112,"Do you want to recover your account?","계정을 복구 하시겠습니까?"
"UI_Loading_1",33013650699575296,"Loading game resources...
Mobile data is not used during loading.","게임 리소스를 로드중입니다...
로드중에는 데이터가 사용되지 않습니다."
"UI_Ad_Price",34834860659957760,"Free","무료"
"ENERGY_AD_1",34841410665439232,"Energy 10 Purchase","에너지 10 구매"
"UI_MissionDesc_9",44990968301084672,"Three Character with the same 3 stars","동일한 3성 캐릭터 3마리 보유"
"UI_Character_101",50061844767825920,"Carona Pengo","카로나 펭고"
"UI_Character_201",50786266118086656,"Lemming Rich","레밍리치"
"UI_Character_301",73906246791454720,"Patrol","패트롤"
"UI_Character_401",73906248582422528,"Emperor Pengo","황제 펭고"
"UI_Character_402",73906250654408704,"White Magician Foxy","백마법사 폭시"
"UI_Character_403",73906251874951168,"Black Magician Foxy","흑마법사 폭시"
"UI_Character_102",73906253019996160,"Kiring","키링"
"UI_Character_103",73906255427526656,"Dark Razy","다크레이지"
"UI_MissionDesc_10",90568925379551232,"Four Lemming Rich with the same 3 stars","3성 레밍리치 4마리 보유"
"UI_Delete",94180050708979712,"Delete","삭제"
"UI_FieldBuff",94180050725756928,"Field Buff","필드버프"
"UI_FieldBuff_INCREASE_CRITICAL_RATE",94180050725756929,"Critical Increase Per {0}","크리티컬 확률 증가 {0}"
"UI_Stat_ATTACK_DAMAGE",94180050725756930,"Basic Attack","공격력"
"UI_Stat_ATTACK_SPEED",94180050725756931,"Attack Speed","공격속도"
"UI_Stat_INCREASE_ATTACK_SPEED",94180050725756932,"Attack Speed Up","공격속도 상승"
"UI_Stat_DETECT_RANGE",94180050725756933,"Range","사거리"
"UI_Stat_INCREASE_DETECT_RANGE",94180050725756934,"Range Up","사거리 상승"
"UI_Stat_TARGET_COUNT",94180050725756935,"Target Count","대상 수"
"UI_Stat_STRIKE_RANGE",94180050725756936,"Splash Range","확산피해 범위"
"UI_Stat_BUFF_VALUE",94180050725756937,"Basic Cast","버프량"
"UI_Stat_BUFF_CYCLE",94180050725756938,"Cast Cooldown","버프주기"
"UI_Stat_BUFF_DURATION",94180050725756939,"Cast Time","지속시간"
"UI_Stat_BUFF_RANGE",94180050725756940,"Cast Range","적용범위"
"UI_Stat_WAVE_DAMAGE",94180050725756941,"Wave Damage","웨이브 데미지"
"UI_Stat_SLOW_RATE",94180050725756942,"Speed Down","슬로우"
"UI_Stat_SLOW_TIME",94180050729951232,"Duration","지속시간"
"UI_Stat_ADD_CRITICAL_RATE",94180050729951233,"Critical Increase Per","크리티컬 확률 증가"
"UI_Stat_GET_GEM_VALUE",94180050729951234,"Get Water Drop","물방울 획득"
"UI_Stat_STUN_TIME",94180050729951235,"Stun Time","기절시간"
"UI_Stat_EXCUTION_HEALTH_RATE",94180050729951236,"Insta-kill Condition","일격처치 조건"
"UI_Stat_BERSERKER_ATTACK_DAMAGE",94180050729951237,"Berserker ATK","광분 데미지"
"UI_Stat_BERSERKER_ATTACK_SPEED",94180050729951238,"Berserker ATS","광분 공격속도"
"UI_Stat_BLACKMAGIC_DAMAGE",94180050729951239,"Bonus Damage","어둠 데미지"
"UI_Stat_SLOW_BOARD_TIME",94180050729951242,"Slow Board Time","장판 지속시간"
"UI_Stat_TRANSFORM_TIME",94180050729951243,"Patrol Time(sec)","변신 지속시간"
"UI_Stat_TRANSFORM_CYCLE",94180050729951244,"Patrol Cooldown","변신 주기"
"UI_Stat_TRANSFORM_ADDITIVE_ATTACK_SPEED",94180050729951245,"Patrol ATS Up","변신 공격속도"
"UI_Stat_GAIN_GEM_RATE",94180050729951246,"Refund Rate","판매비용 전환율"
"UI_Character_202",94180050729951247,"Basic Wolf","베이직 울프"
"UI_Character_203",94180050729951248,"Willow","윌러"
"UI_Character_302",94180050729951249,"Beosk","버스크"
"UI_Character_1101",94180050729951250,"Shapid","샤피드"
"UI_Character_1201",94180050729951251,"Turtlia","터틀리어"
"UI_Character_1301",94180050729951252,"Kanade","카나데"
